Month,Ticker,Type,Monthly Return (%)
Nov 2023,TRENT,Gainer,29.35
Nov 2023,BPCL,Gainer,24.75
Nov 2023,HEROMOTOCO,Gainer,23.66
Nov 2023,EICHERMOT,Gainer,18.25
Nov 2023,APOLLOHOSP,Gainer,14.71
Nov 2023,BAJFINANCE,Loser,-4.95
Nov 2023,SBIN,Loser,-0.14
Nov 2023,NESTLEIND,Loser,0.01
Nov 2023,KOTAKBANK,Loser,0.92
Nov 2023,CIPLA,Loser,1.02
Dec 2023,BEL,Gainer,26.25
Dec 2023,ADANIPORTS,Gainer,24.09
Dec 2023,ADANIENT,Gainer,20.79
Dec 2023,HINDALCO,Gainer,19.24
Dec 2023,NTPC,Gainer,19.08
Dec 2023,HDFCLIFE,Loser,-6.38
Dec 2023,MARUTI,Loser,-2.89
Dec 2023,SBILIFE,Loser,-0.18
Dec 2023,DRREDDY,Loser,0.17
Dec 2023,BAJAJFINSV,Loser,0.73
Jan 2024,ONGC,Gainer,23.02
Jan 2024,SHRIRAMFIN,Gainer,20.14
Jan 2024,ADANIPORTS,Gainer,17.89
Jan 2024,BHARTIARTL,Gainer,13.42
Jan 2024,TATAMOTORS,Gainer,13.37
Jan 2024,HDFCBANK,Loser,-14.43
Jan 2024,ASIANPAINT,Loser,-13.07
Jan 2024,HDFCLIFE,Loser,-10.84
Jan 2024,EICHERMOT,Loser,-7.33
Jan 2024,JSWSTEEL,Loser,-7.0
Feb 2024,TRENT,Gainer,25.75
Feb 2024,BPCL,Gainer,20.2
Feb 2024,M&M,Gainer,17.01
Feb 2024,SBIN,Gainer,16.8
Feb 2024,SUNPHARMA,Gainer,11.24
Feb 2024,HINDALCO,Loser,-13.03
Feb 2024,ITC,Loser,-7.98
Feb 2024,KOTAKBANK,Loser,-7.44
Feb 2024,BAJFINANCE,Loser,-5.36
Feb 2024,ASIANPAINT,Loser,-4.6
Mar 2024,BAJAJ-AUTO,Gainer,15.66
Mar 2024,MARUTI,Gainer,11.62
Mar 2024,BAJFINANCE,Gainer,11.55
Mar 2024,HINDALCO,Gainer,11.19
Mar 2024,TATASTEEL,Gainer,10.65
Mar 2024,INFY,Loser,-10.51
Mar 2024,TATACONSUM,Loser,-7.89
Mar 2024,WIPRO,Loser,-7.42
Mar 2024,HCLTECH,Loser,-7.23
Mar 2024,HINDUNILVR,Loser,-6.13
Apr 2024,BEL,Gainer,16.0
Apr 2024,HINDALCO,Gainer,15.02
Apr 2024,EICHERMOT,Gainer,14.38
Apr 2024,M&M,Gainer,12.23
Apr 2024,TRENT,Gainer,11.7
Apr 2024,HCLTECH,Loser,-11.46
Apr 2024,KOTAKBANK,Loser,-9.05
Apr 2024,HDFCLIFE,Loser,-7.85
Apr 2024,SUNPHARMA,Loser,-7.31
Apr 2024,CIPLA,Loser,-6.48
May 2024,BEL,Gainer,26.61
May 2024,M&M,Gainer,16.23
May 2024,HEROMOTOCO,Gainer,12.69
May 2024,ADANIENT,Gainer,11.68
May 2024,ADANIPORTS,Gainer,8.49
May 2024,TITAN,Loser,-9.68
May 2024,TATAMOTORS,Loser,-8.42
May 2024,SHRIRAMFIN,Loser,-7.75
May 2024,DRREDDY,Loser,-6.65
May 2024,ONGC,Loser,-6.54
Jun 2024,SHRIRAMFIN,Gainer,23.68
Jun 2024,TRENT,Gainer,20.19
Jun 2024,ULTRACEMCO,Gainer,17.67
Jun 2024,WIPRO,Gainer,17.49
Jun 2024,TECHM,Gainer,16.44
Jun 2024,ADANIENT,Loser,-6.87
Jun 2024,COALINDIA,Loser,-3.67
Jun 2024,LT,Loser,-3.29
Jun 2024,BPCL,Loser,-3.17
Jun 2024,MARUTI,Loser,-2.95
Jul 2024,ONGC,Gainer,21.88
Jul 2024,HDFCLIFE,Gainer,20.24
Jul 2024,INFY,Gainer,19.24
Jul 2024,SBILIFE,Gainer,17.54
Jul 2024,TATAMOTORS,Gainer,16.86
Jul 2024,AXISBANK,Loser,-7.84
Jul 2024,TATASTEEL,Loser,-4.99
Jul 2024,BAJFINANCE,Loser,-4.34
Jul 2024,HDFCBANK,Loser,-4.04
Jul 2024,RELIANCE,Loser,-3.83
Aug 2024,TRENT,Gainer,22.6
Aug 2024,BAJAJ-AUTO,Gainer,12.7
Aug 2024,SHRIRAMFIN,Gainer,9.3
Aug 2024,BAJAJFINSV,Gainer,7.96
Aug 2024,CIPLA,Gainer,7.16
Aug 2024,TATASTEEL,Loser,-7.6
Aug 2024,SBIN,Loser,-6.51
Aug 2024,ADANIPORTS,Loser,-5.61
Aug 2024,MARUTI,Loser,-5.43
Aug 2024,BEL,Loser,-5.3
Sep 2024,BAJAJ-AUTO,Gainer,13.35
Sep 2024,SHRIRAMFIN,Gainer,11.62
Sep 2024,BAJAJFINSV,Gainer,10.68
Sep 2024,TATASTEEL,Gainer,10.34
Sep 2024,M&M,Gainer,10.32
Sep 2024,TATAMOTORS,Loser,-12.3
Sep 2024,ONGC,Loser,-10.02
Sep 2024,TCS,Loser,-6.26
Sep 2024,BEL,Loser,-4.74
Sep 2024,DRREDDY,Loser,-3.98
Oct 2024,SBIN,Gainer,4.1
Oct 2024,TECHM,Gainer,1.99
Oct 2024,WIPRO,Gainer,1.91
Oct 2024,ICICIBANK,Gainer,1.51
Oct 2024,HDFCLIFE,Gainer,0.3
Oct 2024,INDUSINDBK,Loser,-27.08
Oct 2024,BAJAJ-AUTO,Loser,-20.33
Oct 2024,MARUTI,Loser,-16.33
Oct 2024,TATACONSUM,Loser,-16.24
Oct 2024,BPCL,Loser,-16.0
Nov 2024,M&M,Gainer,10.42
Nov 2024,TECHM,Gainer,8.63
Nov 2024,INFY,Gainer,8.25
Nov 2024,HCLTECH,Gainer,7.49
Nov 2024,TCS,Gainer,6.96
Nov 2024,ADANIENT,Loser,-24.4
Nov 2024,ADANIPORTS,Loser,-17.38
Nov 2024,ASIANPAINT,Loser,-15.79
Nov 2024,BRITANNIA,Loser,-15.34
Nov 2024,NTPC,Loser,-10.46
